"Luiz Carvalho; Vadim Rutkovsky","C-D0207"
"Orit Wasserman","G-E105"
"Wim Taymans","E-G202"
"Siamak Sadeghianfar","F-E104"
"Siamak Sadeghianfar","E-G202"
"Siamak Sadeghianfar","E-G202"
"Waiman Long","B-D0206"
"Dmitrii Bocharov","G-E105"
"Chris Houseknecht","H-E112"
"Stef Walter","E-G202"
"Adrian Reber","B-D0206"
"Eliska Slobodova; Tomas Tomecek","C-D0207"
"Martin Polednik","B-D0206"
"Jerome Marchand","B-D0206"
"Juan Manuel Parrilla","H-E112"
"Robbie Harwood","F-E104"
"Sanja Bonic","H-E112"
"Christian Fredrik Kalager Schaller","H-E112"
"Scott Hebert","F-E104"
"Langdon White","C-D0207"
"Jan Pazdziora","C-D0207"
"Vigneshwer Dhinakaran","C-D0207"
"Michael McCune","E-G202"
"Paul Moore","C-D0207"
"Kaushal M","G-E105"
"Sergii Kabashniuk; Eugene Ivantsov","E-G202"
"Ondrej Vaško","F-E104"
"Guilherme Baufaker Rego","F-E104"
"Robert Relyea","F-E104"
"Vašek Pavlín; Matthias Luebken","C-D0207"
"Eduardo Otubo","G-E105"
"Ari LiVigni","F-E104"
"Rob Nester","F-E104"
"Honza Horak","H-E112"
"Denis Chaplygin","G-E105"
"Daniel Bristot de Oliveira","B-D0206"
"Jakub Jelen","C-D0207"
"Tomáš Král","C-D0207"
"Michael Bright","B-D0206"
"Jan Šafránek","G-E105"
"Alan Stone; Spenser Shumaker","F-E104"
"Bill Peck","F-E104"
"Grant Seltzer","C-D0207"
"Alexander Larsson","E-G202"
"Matthias Luebken","G-E105"
"Tomáš Mráz","C-D0207"
"Fabiano Fidêncio; Oliver Gutierrez","F-E104"
"Radka Janeková","H-E112"
"Michael Bright","C-D0207"
"Matthias Clasen","E-G202"
"Yan Fisher","B-D0206"
"Phil Sutter","B-D0206"
"Stephen Gallagher","H-E112"
"Sudhir Verma","H-E112"
"Alex Corvin","F-E104"
"Tom Jenkinson","E-G202"
"Carolyn Stransky","H-E112"
"Thorsten Leemhuis","B-D0206"
"Thorsten Leemhuis","B-D0206"
"Peter Robinson","H-E112"
"Arik Hadas","G-E105"
"Zbigniew Jędrzejewki-Szmek","H-E112"
"Alexander Bokovoy","F-E104"
"Stanislav Kozina","B-D0206"
"Francesco Giudici","B-D0206"
"Lukas Vrabec","C-D0207"
"Michalis Kargakis","F-E104"
"Ulrich Drepper","B-D0206"
"Ulrich Drepper","B-D0206"
"Mohit Suman; Denis Golovin","B-D0206"
"Yanis Guenane; Guillaume Vincent","F-E104"
"Miroslav Suchý","C-D0207"
"Dmitry Tantsur; Ilya Etingof","C-D0207"
"Fernando Colleone","G-E105"
"Alexis Monville","G-E105"
"Don Zickus","F-E104"
"Vinzenz Feenstra","C-D0207"
"Dusty Mabe; Josh Berkus","C-D0207"
"Hangbin Liu","B-D0206"
"Serhii Turivnyi; Dominik Perpeet; Rachel Sibley","H-E112"
"Nikolai Kondrashov","C-D0207"
"Matouš Kutypa","F-E104"
"Flavio Percoco","H-E112"
"Priyanka Tyagi","E-G202"
"Michael Musgrove","E-G202"
"Jakub Sitnicki","B-D0206"
"Karol Herbst","B-D0206"
"Florence Renaud","C-D0207"
"Eugene Syromiatnikov","B-D0206"
"Josh Boyer","H-E112"
"Vojtech Sazel","H-E112"
"Pavel Najman","G-E105"
"Matthias Wessendorf","E-G202"
"Vitaly Kuznetsov","G-E105"
"Marcelo Ricardo Leitner; Xin Long","B-D0206"
"Josef Karasek; Jan Wozniak","C-D0207"
"Aditya Konarde","G-E105"
"Davide Cavalca","H-E112"
"Rui Vieira","C-D0207"
"Aditya Konarde","C-D0207"
"Jiri Benc","B-D0206"
"Vincent Batts","H-E112"
"Jan Kalina","E-G202"
"Matthew Micene","F-E104"
"Kevin Fenzi","H-E112"
"Mohan Boddu","F-E104"
"Patrick Uiterwijk","H-E112"
"Jonathan Lebon","H-E112"
"Dharmit Shah","C-D0207"
"James Shubin","F-E104"
"Syam G Krishnan","F-E104"
"Owen Taylor","E-G202"
"Eelco Chaudron","B-D0206"
"Abhishek  Vijra; Varsha Kamble","E-G202"
"Pavel Moravec","F-E104"
"Martin Bähr","B-D0206"
"Prasad J Pandit","G-E105"
"Fabian Deutsch","G-E105"
"Brendan O Farrell","G-E105"
"J. Corwin Coburn; Jered Floyd","G-E105"
"Christian Heimes","H-E112"
"Greg Farnum","G-E105"
"Christian Heimes","C-D0207"
"Maor Lipchuk","G-E105"
"Bryn M. Reeves","G-E105"
"Thomas Haller; Sushil Kulkarni","B-D0206"
"Robert Marshall","G-E105"
"Tom Deseyn","H-E112"
"Jan Chaloupka","H-E112"
"Watson Sato; Gabriel Alford","F-E104"
"Matus Kocka","C-D0207"
"Brian Stinson","F-E104"
"Russell Doty; Javier Martinez Canillas","F-E104"
"Robert McQueen","E-G202"
"Huamin Chen; Dennis Keefe","G-E105"
"Petr Heinz","E-G202"
,"E-G202"
"Pankaj Gupta","G-E105"
"Tomas Jelinek","G-E105"
"Siamak Sadeghianfar","E-G202"
"Laura Abbott","B-D0206"
"Ralph Bean","F-E104"
"Jiří Vaněk","E-G202"
"Martin Ukrop","F-E104"
"Pierre-Yves Chibon","H-E112"
"Giuseppe Bonocore; Luca Villa","G-E105"
"Antonio Murdaca","C-D0207"
"Paolo Gigante","F-E104"
"Larry Woodman","B-D0206"
"Ricardo Lourenço","C-D0207"
"Chris Houseknecht","H-E112"
"Martin Schuppert; Pablo Iranzo Gómez; Pablo Caruana","C-D0207"
"John Frizelle","E-G202"
"Chris Houseknecht","H-E112"
"Tal Nisan","H-E112"
